období,obvod,typ dat,kategorie,přestupek,počet,částka
2024-01-01,OŘ2,Počty zjištěných přestupků,Doprava,jízda na červenou,4,
2024-01-01,OŘ2,Počty zjištěných přestupků,Doprava,přestupky chodců,91,
2024-01-01,OŘ2,Počty zjištěných přestupků,Doprava,přestupky cyklistů,46,
2024-01-01,OŘ2,Počty zjištěných přestupků,Doprava,překročení rychlosti o méně než 20 km/h,0,
2024-01-01,OŘ2,Počty zjištěných přestupků,Doprava,překročení rychlosti o 20 až 39 km/h,0,
2024-01-01,OŘ2,Počty zjištěných přestupků,Doprava,překročení rychlosti o 40 km/h a více,0,
2024-01-01,OŘ2,Počty zjištěných přestupků,Ostatní přestupky,proti majetku,1,
2024-01-01,OŘ2,Počty zjištěných přestupků,Ostatní přestupky,Tabákový zákon,34,
2024-01-01,OŘ2,Počty zjištěných přestupků,Ostatní přestupky,Psi neoznačení čipem,0,
2024-01-01,OŘ2,Počty zjištěných přestupků,Ostatní přestupky,Tržní řád,1,
2024-01-01,OŘ2,Počty zjištěných přestupků,Ostatní přestupky,Přestupky řidičičů TAXI,46,
2024-01-01,OŘ2,Počty zjištěných přestupků,Ostatní přestupky,Přestupky parkoviště invalidů,35,
2024-01-01,OŘ2,Počet uložených pokut,Veřejný pořádek a zeleň,,17,
2024-01-01,OŘ2,Počet uložených pokut,Doprava,,543,
2024-01-01,OŘ2,Počet uložených pokut,Ostatní přestupky,,7,
2024-01-01,OŘ2,Počet uložených pokut,BP v hotovosti,,485,
2024-01-01,OŘ2,Počet uložených pokut,BP na místě nezaplacené,,82,
2024-01-01,OŘ2,Další formy řešení přestupků,Oznámení přestupku,Z toho VP a zeleň,2,
2024-01-01,OŘ2,Další formy řešení přestupků,Domluva,Z toho VP a zeleň,152,
2024-01-01,OŘ2,Další formy řešení přestupků,Vydané VOPP,,103,
2024-01-01,OŘ2,Další formy řešení přestupků,Vyrozumění OPSP,,2537,
2024-01-01,OŘ3,Počty zjištěných přestupků,Veřejný pořádek a zeleň,porušení nočního klidu,144,
2024-01-01,OŘ3,Počty zjištěných přestupků,Veřejný pořádek a zeleň,vzbuzování veřejného pohoršení,11,
2024-01-01,OŘ3,Počty zjištěných přestupků,Veřejný pořádek a zeleň,znečištění veřejného prostranství,64,
2024-01-01,OŘ3,Počty zjištěných přestupků,Veřejný pořádek a zeleň,neoprávněný zábor nebo poškozování veřejného prostranství,21,
2024-01-01,OŘ3,Počty zjištěných přestupků,Veřejný pořádek a zeleň,porušení OZV: požívání alkoh. nápojů na veř. prostranstvích,89,
2024-01-01,OŘ3,Počty zjištěných přestupků,Veřejný pořádek a zeleň,žebrání v rozporu s vyhláškou,0,
2024-01-01,OŘ3,Počty zjištěných přestupků,Doprava,zákaz vjezdu,176,
2024-01-01,OŘ3,Počty zjištěných přestupků,Doprava,zákaz zastavení,525,
2024-01-01,OŘ3,Počty zjištěných přestupků,Doprava,zákaz stání,53,
2024-01-01,OŘ3,Počty zjištěných přestupků,Doprava,pěší zóna,161,
2024-01-01,OŘ3,Počty zjištěných přestupků,Doprava,stání na chodníku,583,
2024-01-01,OŘ3,Počty zjištěných přestupků,Doprava,modrá zóna,185,
2024-01-01,OŘ3,Počty zjištěných přestupků,Doprava,zelená a oranžová zóna,1,
2024-01-01,OŘ3,Počty zjištěných přestupků,Doprava,fialová zóna,30,
2024-01-01,OŘ3,Počty zjištěných přestupků,Doprava,zákaz vjezdu os. přepravníků,0,
2024-01-01,OŘ3,Počty zjištěných přestupků,Doprava,stání na přechodu pro chodce,148,
2024-01-01,OŘ3,Počty zjištěných přestupků,Doprava,stání v křižovatce,279,
2024-01-01,OŘ3,Počty zjištěných přestupků,Doprava,stání ve druhé řadě,14,
2024-01-01,OŘ3,Počty zjištěných přestupků,Doprava,jízda na červenou,0,
2024-01-01,OŘ3,Počty zjištěných přestupků,Doprava,přestupky chodců,54,
2024-01-01,OŘ3,Počty zjištěných přestupků,Doprava,přestupky cyklistů,20,
2024-01-01,OŘ3,Počty zjištěných přestupků,Doprava,překročení rychlosti o méně než 20 km/h,0,
2024-01-01,OŘ3,Počty zjištěných přestupků,Doprava,překročení rychlosti o 20 až 39 km/h,0,
2024-01-01,OŘ3,Počty zjištěných přestupků,Doprava,překročení rychlosti o 40 km/h a více,0,
2024-01-01,OŘ3,Počty zjištěných přestupků,Ostatní přestupky,proti majetku,34,
2024-01-01,OŘ3,Počty zjištěných přestupků,Ostatní přestupky,Tabákový zákon,58,
2024-01-01,OŘ3,Počty zjištěných přestupků,Ostatní přestupky,Psi neoznačení čipem,0,
2024-01-01,OŘ3,Počty zjištěných přestupků,Ostatní přestupky,Tržní řád,0,
2024-01-01,OŘ3,Počty zjištěných přestupků,Ostatní přestupky,Přestupky řidičičů TAXI,0,
2024-01-01,OŘ3,Počty zjištěných přestupků,Ostatní přestupky,Přestupky parkoviště invalidů,35,
2024-01-01,OŘ3,Počet uložených pokut,Veřejný pořádek a zeleň,,48,
2024-01-01,OŘ3,Počet uložených pokut,Doprava,,175,
2024-01-01,OŘ3,Počet uložených pokut,Ostatní přestupky,,18,
2024-01-01,OŘ3,Počet uložených pokut,BP v hotovosti,,189,
2024-01-01,OŘ3,Počet uložených pokut,BP na místě nezaplacené,,52,
2024-01-01,OŘ3,Další formy řešení přestupků,Oznámení přestupku,Z toho VP a zeleň,2,
2024-01-01,OŘ3,Další formy řešení přestupků,Domluva,Z toho VP a zeleň,413,
2024-01-01,OŘ3,Další formy řešení přestupků,Vydané VOPP,,198,
2024-01-01,OŘ3,Další formy řešení přestupků,Vyrozumění OPSP,,2232,
2024-01-01,OŘ4,Počty zjištěných přestupků,Veřejný pořádek a zeleň,porušení nočního klidu,69,
2024-01-01,OŘ4,Počty zjištěných přestupků,Veřejný pořádek a zeleň,vzbuzování veřejného pohoršení,2,
2024-01-01,OŘ4,Počty zjištěných přestupků,Veřejný pořádek a zeleň,znečištění veřejného prostranství,15,
2024-01-01,OŘ4,Počty zjištěných přestupků,Veřejný pořádek a zeleň,neoprávněný zábor nebo poškozování veřejného prostranství,180,
2024-01-01,OŘ4,Počty zjištěných přestupků,Veřejný pořádek a zeleň,porušení OZV: požívání alkoh. nápojů na veř. prostranstvích,20,
2024-01-01,OŘ4,Počty zjištěných přestupků,Veřejný pořádek a zeleň,žebrání v rozporu s vyhláškou,2,
2024-01-01,OŘ4,Počty zjištěných přestupků,Doprava,zákaz vjezdu,296,
2024-01-01,OŘ4,Počty zjištěných přestupků,Doprava,zákaz zastavení,1131,
2024-01-01,OŘ4,Počty zjištěných přestupků,Doprava,zákaz stání,29,
2024-01-01,OŘ4,Počty zjištěných přestupků,Doprava,pěší zóna,0,
2024-01-01,OŘ4,Počty zjištěných přestupků,Doprava,stání na chodníku,982,
2024-01-01,OŘ4,Počty zjištěných přestupků,Doprava,modrá zóna,32,
2024-01-01,OŘ4,Počty zjištěných přestupků,Doprava,zelená a oranžová zóna,2,
2024-01-01,OŘ4,Počty zjištěných přestupků,Doprava,fialová zóna,53,
2024-01-01,OŘ4,Počty zjištěných přestupků,Doprava,zákaz vjezdu os. přepravníků,0,
2024-01-01,OŘ4,Počty zjištěných přestupků,Doprava,stání na přechodu pro chodce,111,
2024-01-01,OŘ4,Počty zjištěných přestupků,Doprava,stání v křižovatce,243,
2024-01-01,OŘ4,Počty zjištěných přestupků,Doprava,stání ve druhé řadě,16,
2024-01-01,OŘ4,Počty zjištěných přestupků,Doprava,jízda na červenou,1,
2024-01-01,OŘ4,Počty zjištěných přestupků,Doprava,přestupky chodců,41,
2024-01-01,OŘ4,Počty zjištěných přestupků,Doprava,přestupky cyklistů,18,
2024-01-01,OŘ4,Počty zjištěných přestupků,Doprava,překročení rychlosti o méně než 20 km/h,10,
2024-01-01,OŘ4,Počty zjištěných přestupků,Doprava,překročení rychlosti o 20 až 39 km/h,0,
2024-01-01,OŘ4,Počty zjištěných přestupků,Doprava,překročení rychlosti o 40 km/h a více,0,
2024-01-01,OŘ4,Počty zjištěných přestupků,Ostatní přestupky,proti majetku,17,
2024-01-01,OŘ4,Počty zjištěných přestupků,Ostatní přestupky,Tabákový zákon,57,
2024-01-01,OŘ4,Počty zjištěných přestupků,Ostatní přestupky,Psi neoznačení čipem,0,
2024-01-01,OŘ4,Počty zjištěných přestupků,Ostatní přestupky,Tržní řád,1,
2024-01-01,OŘ4,Počty zjištěných přestupků,Ostatní přestupky,Přestupky řidičičů TAXI,46,
2024-01-01,OŘ4,Počty zjištěných přestupků,Ostatní přestupky,Přestupky parkoviště invalidů,23,
2024-01-01,OŘ4,Počet uložených pokut,Veřejný pořádek a zeleň,,13,
2024-01-01,OŘ4,Počet uložených pokut,Doprava,,434,
2024-01-01,OŘ4,Počet uložených pokut,Ostatní přestupky,,18,
2024-01-01,OŘ4,Počet uložených pokut,BP v hotovosti,,367,
2024-01-01,OŘ4,Počet uložených pokut,BP na místě nezaplacené,,98,
2024-01-01,OŘ4,Další formy řešení přestupků,Oznámení přestupku,Z toho VP a zeleň,5,
2024-01-01,OŘ4,Další formy řešení přestupků,Domluva,Z toho VP a zeleň,163,
2024-01-01,OŘ4,Další formy řešení přestupků,Vydané VOPP,,414,
2024-01-01,OŘ4,Další formy řešení přestupků,Vyrozumění OPSP,,2798,
2024-01-01,OŘ5,Počty zjištěných přestupků,Veřejný pořádek a zeleň,porušení nočního klidu,66,
2024-01-01,OŘ5,Počty zjištěných přestupků,Veřejný pořádek a zeleň,vzbuzování veřejného pohoršení,12,
2024-01-01,OŘ5,Počty zjištěných přestupků,Veřejný pořádek a zeleň,znečištění veřejného prostranství,679,
2024-01-01,OŘ5,Počty zjištěných přestupků,Veřejný pořádek a zeleň,neoprávněný zábor nebo poškozování veřejného prostranství,66,
2024-01-01,OŘ5,Počty zjištěných přestupků,Veřejný pořádek a zeleň,porušení OZV: požívání alkoh. nápojů na veř. prostranstvích,156,
2024-01-01,OŘ5,Počty zjištěných přestupků,Veřejný pořádek a zeleň,žebrání v rozporu s vyhláškou,35,
2024-01-01,OŘ5,Počty zjištěných přestupků,Doprava,zákaz vjezdu,590,
2024-01-01,OŘ5,Počty zjištěných přestupků,Doprava,zákaz zastavení,1792,
2024-01-01,OŘ5,Počty zjištěných přestupků,Doprava,zákaz stání,166,
2024-01-01,OŘ5,Počty zjištěných přestupků,Doprava,pěší zóna,301,
2024-01-01,OŘ5,Počty zjištěných přestupků,Doprava,stání na chodníku,906,
2024-01-01,OŘ5,Počty zjištěných přestupků,Doprava,modrá zóna,93,
2024-01-01,OŘ5,Počty zjištěných přestupků,Doprava,zelená a oranžová zóna,0,
2024-01-01,OŘ5,Počty zjištěných přestupků,Doprava,fialová zóna,31,
2024-01-01,OŘ5,Počty zjištěných přestupků,Doprava,zákaz vjezdu os. přepravníků,0,
2024-01-01,OŘ5,Počty zjištěných přestupků,Doprava,stání na přechodu pro chodce,177,
2024-01-01,OŘ5,Počty zjištěných přestupků,Doprava,stání v křižovatce,149,
2024-01-01,OŘ5,Počty zjištěných přestupků,Doprava,stání ve druhé řadě,26,
2024-01-01,OŘ5,Počty zjištěných přestupků,Doprava,jízda na červenou,3,
2024-01-01,OŘ5,Počty zjištěných přestupků,Doprava,přestupky chodců,56,
2024-01-01,OŘ5,Počty zjištěných přestupků,Doprava,přestupky cyklistů,40,
2024-01-01,OŘ5,Počty zjištěných přestupků,Doprava,překročení rychlosti o méně než 20 km/h,2,
2024-01-01,OŘ5,Počty zjištěných přestupků,Doprava,překročení rychlosti o 20 až 39 km/h,1,
2024-01-01,OŘ5,Počty zjištěných přestupků,Doprava,překročení rychlosti o 40 km/h a více,0,
2024-01-01,OŘ5,Počty zjištěných přestupků,Ostatní přestupky,proti majetku,56,
2024-01-01,OŘ5,Počty zjištěných přestupků,Ostatní přestupky,Tabákový zákon,87,
2024-01-01,OŘ5,Počty zjištěných přestupků,Ostatní přestupky,Psi neoznačení čipem,0,
2024-01-01,OŘ5,Počty zjištěných přestupků,Ostatní přestupky,Tržní řád,0,
2024-01-01,OŘ5,Počty zjištěných přestupků,Ostatní přestupky,Přestupky řidičičů TAXI,0,
2024-01-01,OŘ5,Počty zjištěných přestupků,Ostatní přestupky,Přestupky parkoviště invalidů,116,
2024-01-01,OŘ5,Počet uložených pokut,Veřejný pořádek a zeleň,,16,
2024-01-01,OŘ5,Počet uložených pokut,Doprava,,429,
2024-01-01,OŘ5,Počet uložených pokut,Ostatní přestupky,,53,
2024-01-01,OŘ5,Počet uložených pokut,BP v hotovosti,,372,
2024-01-01,OŘ5,Počet uložených pokut,BP na místě nezaplacené,,126,
2024-01-01,OŘ5,Další formy řešení přestupků,Oznámení přestupku,Z toho VP a zeleň,734,
2024-01-01,OŘ5,Další formy řešení přestupků,Domluva,Z toho VP a zeleň,565,
2024-01-01,OŘ5,Další formy řešení přestupků,Vydané VOPP,,361,
2024-01-01,OŘ5,Další formy řešení přestupků,Vyrozumění OPSP,,5310,
2024-01-01,OŘ6,Počty zjištěných přestupků,Veřejný pořádek a zeleň,porušení nočního klidu,2,
2024-01-01,OŘ6,Počty zjištěných přestupků,Veřejný pořádek a zeleň,vzbuzování veřejného pohoršení,0,
2024-01-01,OŘ6,Počty zjištěných přestupků,Veřejný pořádek a zeleň,znečištění veřejného prostranství,6,
2024-01-01,OŘ6,Počty zjištěných přestupků,Veřejný pořádek a zeleň,neoprávněný zábor nebo poškozování veřejného prostranství,31,
2024-01-01,OŘ6,Počty zjištěných přestupků,Veřejný pořádek a zeleň,porušení OZV: požívání alkoh. nápojů na veř. prostranstvích,28,
2024-01-01,OŘ6,Počty zjištěných přestupků,Veřejný pořádek a zeleň,žebrání v rozporu s vyhláškou,9,
2024-01-01,OŘ6,Počty zjištěných přestupků,Doprava,zákaz vjezdu,193,
2024-01-01,OŘ6,Počty zjištěných přestupků,Doprava,zákaz zastavení,446,
2024-01-01,OŘ6,Počty zjištěných přestupků,Doprava,zákaz stání,90,
2024-01-01,OŘ6,Počty zjištěných přestupků,Doprava,pěší zóna,88,
2024-01-01,OŘ6,Počty zjištěných přestupků,Doprava,stání na chodníku,793,
2024-01-01,OŘ6,Počty zjištěných přestupků,Doprava,modrá zóna,92,
2024-01-01,OŘ6,Počty zjištěných přestupků,Doprava,zelená a oranžová zóna,0,
2024-01-01,OŘ6,Počty zjištěných přestupků,Doprava,fialová zóna,5,
2024-01-01,OŘ6,Počty zjištěných přestupků,Doprava,zákaz vjezdu os. přepravníků,0,
2024-01-01,OŘ6,Počty zjištěných přestupků,Doprava,stání na přechodu pro chodce,225,
2024-01-01,OŘ6,Počty zjištěných přestupků,Doprava,stání v křižovatce,344,
2024-01-01,OŘ6,Počty zjištěných přestupků,Doprava,stání ve druhé řadě,18,
2024-01-01,OŘ6,Počty zjištěných přestupků,Doprava,jízda na červenou,1,
2024-01-01,OŘ6,Počty zjištěných přestupků,Doprava,přestupky chodců,78,
2024-01-01,OŘ6,Počty zjištěných přestupků,Doprava,přestupky cyklistů,8,
2024-01-01,OŘ6,Počty zjištěných přestupků,Doprava,překročení rychlosti o méně než 20 km/h,63,
2024-01-01,OŘ6,Počty zjištěných přestupků,Doprava,překročení rychlosti o 20 až 39 km/h,12,
2024-01-01,OŘ6,Počty zjištěných přestupků,Doprava,překročení rychlosti o 40 km/h a více,0,
2024-01-01,OŘ6,Počty zjištěných přestupků,Ostatní přestupky,proti majetku,5,
2024-01-01,OŘ6,Počty zjištěných přestupků,Ostatní přestupky,Tabákový zákon,8,
2024-01-01,OŘ6,Počty zjištěných přestupků,Ostatní přestupky,Psi neoznačení čipem,0,
2024-01-01,OŘ6,Počty zjištěných přestupků,Ostatní přestupky,Tržní řád,0,
2024-01-01,OŘ6,Počty zjištěných přestupků,Ostatní přestupky,Přestupky řidičů TAXI,0,
2024-01-01,OŘ6,Počty zjištěných přestupků,Ostatní přestupky,Přestupky parkoviště invalidů,45,
2024-01-01,OŘ6,Počet uložených pokut,Veřejný pořádek a zeleň,,3,
2024-01-01,OŘ6,Počet uložených pokut,Doprava,,329,
2024-01-01,OŘ6,Počet uložených pokut,Ostatní přestupky,,5,
2024-01-01,OŘ6,Počet uložených pokut,BP v hotovosti,,241,
2024-01-01,OŘ6,Počet uložených pokut,BP na místě nezaplacené,,96,
2024-01-01,OŘ6,Další formy řešení přestupků,Oznámení přestupku,Z toho VP a zeleň,1,
2024-01-01,OŘ6,Další formy řešení přestupků,Domluva,Z toho VP a zeleň,85,
2024-01-01,OŘ6,Další formy řešení přestupků,Vydané VOPP,,272,
2024-01-01,OŘ6,Další formy řešení přestupků,Vyrozumění OPSP,,3767,
2024-01-01,OŘ7,Počty zjištěných přestupků,Veřejný pořádek a zeleň,porušení nočního klidu,42,
2024-01-01,OŘ7,Počty zjištěných přestupků,Veřejný pořádek a zeleň,vzbuzování veřejného pohoršení,1,
2024-01-01,OŘ7,Počty zjištěných přestupků,Veřejný pořádek a zeleň,znečištění veřejného prostranství,65,
2024-01-01,OŘ7,Počty zjištěných přestupků,Veřejný pořádek a zeleň,neoprávněný zábor nebo poškozování veřejného prostranství,595,
2024-01-01,OŘ7,Počty zjištěných přestupků,Veřejný pořádek a zeleň,porušení OZV: požívání alkoh. nápojů na veř. prostranstvích,67,
2024-01-01,OŘ7,Počty zjištěných přestupků,Veřejný pořádek a zeleň,žebrání v rozporu s vyhláškou,0,
2024-01-01,OŘ7,Počty zjištěných přestupků,Doprava,zákaz vjezdu,764,
2024-01-01,OŘ7,Počty zjištěných přestupků,Doprava,zákaz zastavení,481,
2024-01-01,OŘ7,Počty zjištěných přestupků,Doprava,zákaz stání,67,
2024-01-01,OŘ7,Počty zjištěných přestupků,Doprava,pěší zóna,0,
2024-01-01,OŘ7,Počty zjištěných přestupků,Doprava,stání na chodníku,344,
2024-01-01,OŘ7,Počty zjištěných přestupků,Doprava,modrá zóna,101,
2024-01-01,OŘ7,Počty zjištěných přestupků,Doprava,zelená a oranžová zóna,29,
2024-01-01,OŘ7,Počty zjištěných přestupků,Doprava,fialová zóna,62,
2024-01-01,OŘ7,Počty zjištěných přestupků,Doprava,zákaz vjezdu os. přepravníků,0,
2024-01-01,OŘ7,Počty zjištěných přestupků,Doprava,stání na přechodu pro chodce,159,
